"term","translation","frontSide"
"We’re in hot water because we ...","У нас проблемы, потому что мы ...","translation"
"I'm afraid of spiders.","Я боюсь пауков.","translation"
"The answer is 42. Right on!","""Ответ - 42."" - ""Точно!""","translation"
"I made friends with a boy from my new school","Я подружился с мальчиком из моей новой школы","translation"
"If we won the lottery, we would buy a house","Если бы мы выиграли в лотерею, мы бы купили дом","translation"
"If she had left earlier, she wouldn’t have missed the train","Если бы она вышла раньше, она бы не опоздала на поезд.","translation"
"If she had more free time, she would travel more","Если бы у неё было больше свободного времени, она бы больше путешествовала","translation"
"If it rains, I will stay at home","Если пойдёт дождь, я останусь дома.","translation"
"Pay attention","Обратить внимание","translation"
"Tell the difference between us","Скажи, в чем разница между нами","translation"
"It was planned ahead of time","Это было запланировано заранее","translation"
"Learning a new language is far from easy, but it’s rewarding","Изучение нового языка далеко не просто, но это вознаграждается","translation"
"The hiking trail was pretty tough","Походная тропа была довольно сложной","translation"
"She was thrilled to receive a letter from her old friend after so many years","Она была в восторге, получив письмо от своего старого друга спустя столько лет","translation"
"In a way, I agree with you, but...","В каком-то смысле я согласен с тобой, но","translation"
"The party last night? It was lit!","Вечеринка вчера? Это было круто!","translation"
"The party really warmed up after 10 p.m.","Вечеринка действительно разошлась после 10 вечера","translation"
"The view from the mountain was impressive.","Вид с горы был впечатляющим.","translation"
"Hands up! Who wants ice cream?","Внимание! Кто хочет мороженое?","translation"
"Water is essential for life","Вода необходима для жизни.","translation"
"It didn’t work out as planned","Всё вышло не так, как планировалось","translation"
"Tall players have an advantage in basketball","Высокие игроки имеют преимущество в баскетболе","translation"
"Where will you drop me off?","Где ты меня высадишь?","translation"
"Where do you want to eat? — It’s up to you","Где ты хочешь поесть? — Как хочешь, тебе решать.","translation"
"The city looked familiar to me","Город показался мне знакомым","translation"
"Walking around the old town, I just absorbed the atmosphere","Гуляя по старому городу я впитывал атмосферу","translation"
"No way! You got the job?","Да ладно! Ты получил работу?","translation"
"Let’s go over the plan one more time","Давай ещё раз пройдёмся по плану","translation"
"Let’s find a suitable time to meet","Давай найдём подходящее время для встречи.","translation"
"Let’s discuss the plan after lunch.","Давай обсудим план после обеда.","translation"
"Let me get this straight","Давай проясним","translation"
"Let’s go out for dinner tonight.","Давай сегодня сходим поужинать.","translation"
"Let’s compare the prices first","Давай сначала сравним цены","translation"
"Let’s get started","Давайте начнем","translation"
"Let’s carry on with the meeting","Давайте продолжим собрание","translation"
"Money is his main concern right now.","Деньги — это его главная забота сейчас.","translation"
"Keep everything under control","Держи все под контролем","translation"
"Hang on to the rope, don’t let go!","Держись за верёвку, не отпускай!","translation"
"Hold on to the rail, it’s slippery","Держись за перила, тут скользко","translation"
"The children behaved well during the trip","Дети хорошо себя вели во время поездки","translation"
"His statement was clear and simple","Его заявление было ясным и простым","translation"
"His constant complaining really gets on my nerves","Его постоянные жалобы действительно действуют мне на нервы","translation"
"The food looked disgusting.","Еда выглядела отвратительно.","translation"
"She’s always curious about new things","Ей всегда интересно что-то новое","translation"
"She doesn’t care about money.","Ей всё равно на деньги","translation"
"It took her a while to calm down after the argument","Ей потребовалось время, чтобы успокоиться после ссоры","translation"
"It took her a while to get used to living in a new city","Ей потребовалось какое-то время, чтобы привыкнуть к жизни в новом городе","translation"
"She felt sad after watching the movie.","Ей стало грустно после просмотра фильма.","translation"
"She managed to finish the report on time","Ей удалось закончить отчёт вовремя","translation"
"It took him a while to learn how to ride a bike","Ему потребовалось какое-то время, чтобы научиться кататься на велосипеде","translation"
"He felt embarrassed when he forgot her name.","Ему стало неловко, когда он забыл её имя.","translation"
"It’s hard for him to open up about his feelings","Ему трудно говорить о своих чувствах","translation"
"If we hadn’t forgotten the tickets, we would have gone to the concert","Если бы мы не забыли билеты, мы бы пошли на концерт","translation"
"If he had told me the truth, I would have helped him","Если бы он сказал мне правду, я бы ему помог (говорим про событие в прошлом)","translation"
"If they lived closer, we would visit them more often","Если бы они жили ближе, мы бы навещали их чаще","translation"
"If they had invited us, we would have come to the party","Если бы они нас пригласили, мы бы пришли на вечеринку (говорим о событии в прошлом)","translation"
"If I had studied harder, I would have passed the test","Если бы я учился усерднее, я бы сдал тест","translation"
"If we work as a team, we can get things done much faster","Если мы будем работать в команде, то справимся намного быстрее","translation"
"If we leave now, we will catch the bus.","Если мы выйдем сейчас, мы успеем на автобус","translation"
"If she invites me, I will go to the party","Если она меня пригласит, я пойду на вечеринку","translation"
"Her parents are proud of her success.","Её родители гордятся её успехом.","translation"
"Finishing a big project is very satisfying.","Завершение большого проекта — это очень удовлетворяющее чувство.","translation"
"Why did you bring up that topic again?","Зачем ты снова завёл разговор об этом?","translation"
"Sorry, I can’t go out tonight. Can I take a rain check?","Извини, я не могу сегодня пойти. Можно я перенесу на другой раз?","translation"
"It took them a while to solve the problem.","Им потребовалось какое-то время, чтобы решить проблему","translation"
"Sometimes I go to a café just to change the atmosphere and get things done","Иногда я хожу в кафе, просто чтобы сменить обстановку и сделать всё запланированное","translation"
"Fortunately, no one was hurt.","К счастью, никто не пострадал.","translation"
"Fortunately, I passed the test.","К счастью, я сдал тест.","translation"
"How can I get to the station?","Как добраться до станции?","translation"
"How to get things done","Как довести дело до конца","translation"
"Too bad you can't come to the party. We'll miss you.","Как жаль, что ты не можешь прийти на вечеринку. Нам будет тебя не хватать.","translation"
"How are you holding up after the breakup?","Как ты держишься после расставания?","translation"
"How did you find out about the news?","Как ты узнал об этой новости?","translation"
"What kind of books do you like?","Какие книги вам нравятся?","translation"
"The company announced a new product","Компания объявила (анонсировали) о новом продукте","translation"
"The company will introduce a new product next month.","Компания представит новый продукт в следующем месяце.","translation"
"By the way, have you seen my keys?","Кстати, ты не видел мои ключи?","translation"
"Who will care for the cat while we’re away?","Кто будет заботиться о кошке, пока нас нет?","translation"
"The car passed by my house","Машина проехала мимо моего дома","translation"
"The manager is not available right now","Менеджер сейчас недоступен","translation"
"I care about my friends and family.","Мне важны мои друзья и семья.","translation"
"I like honest people","Мне нравятся честные люди","translation"
"I need a job with flexible hours","Мне нужна работа с гибким графиком","translation"
"I have to go back to work now","Мне нужно вернуться к работе","translation"
"I need to clean my room","Мне нужно убрать в комнате","translation"
