Word,Translation
anger,злость
anxiety,тревога
astonishment,изумление
boredom,скука
confusion,замешательство
delight,восторг
disappointment,разочарование
embarrassment,смущение
envy,зависть
excitement,волнение
fear,страх
frustration,"разочарование, фрустрация"
gratitude,благодарность
guilt,вина
happiness,счастье
hope,надежда
jealousy,ревность
joy,радость
loneliness,одиночество
love,любовь
panic,паника
pride,гордость
regret,сожаление
relief,облегчение
sadness,печаль
shame,стыд
stress,стресс
surprise,удивление
sympathy,сочувствие
trust,доверие
