Word,Translation
achievement,достижение
advantage,преимущество
challenge,вызов
confidence,уверенность
decision,решение
development,развитие
environment,окружающая среда
experience,опыт
improvement,улучшение
knowledge,знание
management,управление
opportunity,возможность
performance,выступление
progress,прогресс
relationship,отношения
responsibility,ответственность
solution,решение
strategy,стратегия
success,успех
support,поддержка
tradition,традиция
variety,разнообразие
benefit,польза
communication,общение
comparison,сравнение
complaint,жалоба
description,описание
effect,эффект
influence,влияние
permission,разрешение
