Word,Translation
achieve,достигать
admire,восхищаться
avoid,избегать
complain,жаловаться
consider,рассматривать
contribute,вносить вклад
convince,убеждать
deliver,доставлять
encourage,поощрять
improve,улучшать
increase,увеличивать
manage,управлять
offer,предлагать
perform,выполнять
prefer,предпочитать
protect,защищать
provide,предоставлять
realize,осознавать
receive,получать
reduce,сокращать
replace,заменять
require,требовать
respect,уважать
solve,решать
suggest,предлагать
support,поддерживать
treat,"лечить, обращаться"
warn,предупреждать
impress,впечатлять
depend,зависеть
