Word,Translation
accurate,точный
anxious,тревожный
aware,осведомлённый
confident,уверенный
creative,творческий
curious,любопытный
efficient,эффективный
essential,необходимый
flexible,гибкий
generous,щедрый
independent,независимый
involved,вовлечённый
loyal,преданный
motivated,мотивированный
nervous,нервный
patient,терпеливый
practical,практичный
reliable,надёжный
responsible,ответственный
sensitive,чувствительный
serious,серьёзный
similar,похожий
suitable,подходящий
typical,типичный
useful,полезный
valuable,ценный
willing,готовый
amazing,удивительный
annoying,раздражающий
comfortable,комфортный
